2018-03-19 09:22:56.681189;The show Survivor had the original premise of putting people on an island with Chuck Norris. There were no survivors, and nobody is brave enough to go to the island to retrieve the footage.
2018-03-19 09:23:01.592279;Someone once videotaped Chuck Norris getting pissed off. It was called Walker: Texas Chain Saw Masacre.
2018-03-19 09:23:07.357856;Chuck Norris invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.
2018-03-19 09:23:11.538884;Chuck Norris once participated in the running of the bulls. He walked.
2018-03-19 09:23:16.544574;Chuck Norris can download emails with his pick-up.
2018-03-19 09:23:21.651152;Chuck Norris can be unlocked on the hardest level of Tekken. But only Chuck Norris is skilled enough to unlock himself. Then he roundhouse kicks the Playstation back to Japan.
2018-03-19 09:23:26.884345;Chuck Norris once shat blood - the blood of 11,940 natives he had killed and eaten.
2018-03-19 09:23:31.567637;Chuck Norris once participated in the running of the bulls. He walked.
2018-03-19 09:23:36.600526;Chuck Norris causes the Windows Blue Screen of Death.
2018-03-19 09:23:41.592927;Chuck Norris is the only man to ever defeat a brick wall in a game of tennis.
2018-03-19 09:23:46.599043;If Chuck Norris writes code with bugs, the bugs fix themselves.
2018-03-19 09:23:51.653758;The only sure things are Death and Taxes and when Chuck Norris goes to work for the IRS, they'll be the same thing.
2018-03-19 09:23:56.631306;After taking a steroids test doctors informed Chuck Norris that he had tested positive. He laughed upon receiving this information, and said &quot;of course my urine tested positive, what do you think they make steroids from?&quot;
2018-03-19 09:24:01.652915;Chuck Norris was what Willis was talkin' about.
2018-03-19 09:57:01.197488;Chuck Norris doesn't use Oracle, he is the Oracle.
2018-03-19 09:57:06.324778;Chuck Norris wipes his ass with chain mail and sandpaper.
2018-03-19 09:57:11.633936;Chuck Norris does, in fact, live in a round house.
2018-03-19 09:57:16.337071;Chuck Norris causes the Windows Blue Screen of Death.
2018-03-19 09:57:21.187610;According to the Bible, God created the universe in six days. Before that, Chuck Norris created God by snapping his fingers.
2018-03-19 09:57:26.264641;Chuck Norris' Penis is a third degree blackbelt, and an honorable 32nd-degree mason.
2018-03-19 09:57:31.339788;When Chuck Norris throws exceptions, it's across the room.
2018-03-19 09:57:36.220106;Chuck Norris doesn't see dead people. He makes people dead.
2018-03-19 09:57:41.189265;In an act of great philanthropy, Chuck made a generous donation to the American Cancer Society. He donated 6,000 dead bodies for scientific research.
2018-03-19 09:57:46.225139;Code runs faster when Chuck Norris watches it.
2018-03-19 09:57:51.218744;No one has ever pair-programmed with Chuck Norris and lived to tell about it.
2018-03-19 09:57:56.370314;Chuck Norris causes the Windows Blue Screen of Death.
2018-03-19 09:58:01.240060;Chuck Norris can install a 64 bit OS on 32 bit machines.
2018-03-19 09:58:06.251225;&quot;Sweating bullets&quot; is literally what happens when Chuck Norris gets too hot.
2018-03-19 09:58:11.269735;Chuck Norris built the hospital he was born in.
2018-03-19 09:58:16.247817;Some people like to eat frogs' legs. Chuck Norris likes to eat lizard legs. Hence, snakes.
2018-03-19 09:58:21.273927;Fact: Chuck Norris doesn't consider it sex if the woman survives.
2018-03-19 09:58:26.285036;Chuck Norris did in fact, build Rome in a day.
2018-03-19 09:58:31.254713;Paper beats rock, rock beats scissors, and scissors beats paper, but Chuck Norris beats all 3 at the same time.
